operation, n, work
insert, 312523, 91
PercUp, 312523, 91
Get Root, 312522, 91
PercDown, 312522, 91
insert, 170530, 86
PercUp, 170530, 86
Get Root, 170529, 86
PercDown, 170529, 86
insert, 775515, 96
PercUp, 775515, 96
Get Root, 775514, 96
PercDown, 775514, 96
insert, 838237, 96
PercUp, 838237, 96
Get Root, 838236, 96
PercDown, 838236, 96
insert, 255453, 86
PercUp, 255453, 86
Get Root, 255452, 86
PercDown, 255452, 86
insert, 163178, 86
PercUp, 163178, 86
Get Root, 163177, 86
PercDown, 163177, 86
insert, 604033, 96
PercUp, 604033, 96
Get Root, 604032, 96
PercDown, 604032, 96
insert, 683236, 96
PercUp, 683236, 96
Get Root, 683235, 96
PercDown, 683235, 96
insert, 535986, 96
PercUp, 535986, 96
Get Root, 535985, 96
PercDown, 535985, 96
insert, 685473, 96
PercUp, 685473, 96
Get Root, 685472, 96
PercDown, 685472, 96
insert, 973956, 96
PercUp, 973956, 96
Get Root, 973955, 96
PercDown, 973955, 96
insert, 275962, 91
PercUp, 275962, 91
Get Root, 275961, 91
PercDown, 275961, 91
insert, 294824, 91
PercUp, 294824, 91
Get Root, 294823, 91
PercDown, 294823, 91
insert, 873507, 96
PercUp, 873507, 96
Get Root, 873506, 96
PercDown, 873506, 96
insert, 722502, 96
PercUp, 722502, 96
Get Root, 722501, 96
PercDown, 722501, 96
insert, 702460, 96
PercUp, 702460, 96
Get Root, 702459, 96
PercDown, 702459, 96
insert, 668938, 96
PercUp, 668938, 96
Get Root, 668937, 96
PercDown, 668937, 96
insert, 572421, 96
PercUp, 572421, 96
Get Root, 572420, 96
PercDown, 572420, 96
insert, 159109, 86
PercUp, 159109, 86
Get Root, 159108, 86
PercDown, 159108, 86
insert, 848189, 96
PercUp, 848189, 96
Get Root, 848188, 96
PercDown, 848188, 96
