operation, n, work
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
Enqueue, 1001, 1001
Dequeue, 1000, 1000
